idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1,landed
70,32.1,0,0,0,0,0,0.0,0,0.9545,0,7.5470767,0,0.40729374,0.9825523397163696,0.0,0.1859862890588657,0.0,0,-0.0059317527,0,3.5984399029461014,0,-9.104513887698896,0,-0.0029424005090788,0,1,0
71,32.129999999999995,0,0,0,0,0,0.0,0,0.95385,0,7.547759,0,0.40790486,0.9825688839262496,0.0,0.1858988658919789,0.0,0,-0.0060268478,0,3.597492815671573,0,-9.104690724212595,0,-0.0029193193963787,0,1,0
72,32.16,0,0,0,0,0,0.0,0,0.9532,0,7.5484657,0,0.40852123,0.9825856861619964,0.0,0.1858100356535111,0.0,0,-0.0061212513,0,3.596530772786992,0,-9.104885551388952,0,-0.002895482526253,0,1,0
73,32.19,0,0,0,0,0,0.0,0,0.95255,0,7.5491967,0,0.4091425,0.9826027432748128,0.0,0.1857198129140031,0.0,0,-0.006214941,0,3.595552608688505,0,-9.105098316148242,0,-0.0028709543758145,0,1,0
74,32.22,0,0,0,0,0,0.0,0,0.9519,0,7.549952,0,0.40976834,0.9826200521153192,0.0,0.185628212243957,0.0,0,-0.006307896,0,3.594558492652084,0,-9.105328554192898,0,-0.0028457453543745,0,1,0
75,32.25,0,0,0,0,0,0.0,0,0.95125,0,7.550732,0,0.41039845,0.9826376122984468,0.0,0.1855352335714351,0.0,0,-0.0064000967,0,3.5935482997649064,0,-9.105576821504265,0,-0.0028198668626216,0,1,0
76,32.28,0,0,0,0,0,0.0,0,0.9506,0,7.551537,0,0.4110325,0.9826554206700464,0.0,0.185440891466187,0.0,0,-0.0064915223,0,3.592521480233579,0,-9.105843130247356,0,-0.0027933029744743,0,1,0
77,32.31,0,0,0,0,0,0.0,0,0.94995,0,7.5523667,0,0.4116702,0.9826734740758744,0.0,0.1853452004980214,0.0,0,-0.0065821526,0,3.591477501581953,0,-9.106126334917713,0,-0.0027661147779882,0,1,0
78,32.34,0,0,0,0,0,0.0,0,0.9493,0,7.5532217,0,0.41231132,0.9826917693617968,0.0,0.1852481752368457,0.0,0,-0.006671969,0,3.590416563682226,0,-9.106425899094868,0,-0.00273831031604,0,1,0
79,32.37,0,0,0,0,0,0.0,0,0.94865,0,7.5541015,0,0.4129555,0.9827103033739872,0.0,0.1851498302527054,0.0,0,-0.0067609525,0,3.589338923632404,0,-9.106744125970229,0,-0.002709920864193,0,1,0
80,32.4,0,0,0,0,0,0.0,0,0.948,0,7.5550065,0,0.41360244,0.9827290757165876,0.0,0.1850501654720175,0.0,0,-0.0068490864,0,3.5882434482129364,0,-9.107078726443357,0,-0.0026809264904717,0,1,0
81,32.43,0,0,0,0,0,0.0,0,0.94735,0,7.5559373,0,0.4142519,0.9827480832324644,0.0,0.1849491954643678,0.0,0,-0.006936352,0,3.587130237278547,0,-9.107429665179216,0,-0.0026513859853669,0,1,0
82,32.46,0,0,0,0,0,0.0,0,0.9467,0,7.5568933,0,0.41490355,0.9827673200108288,0.0,0.1848469494439478,0.0,0,-0.007022733,0,3.5860002345348327,0,-9.10779929304519,0,-0.0026213256331912,0,1,0
83,32.49,0,0,0,0,0,0.0,0,0.94605,0,7.557875,0,0.41555715,0.9827867856538164,0.0,0.1847434273370485,0.0,0,-0.007108214,0,3.584851762815668,0,-9.108185372138506,0,-0.0025907483993752,0,1,0
84,32.52,0,0,0,0,0,0.0,0,0.9454,0,7.558882,0,0.41621235,0.9828064770072632,0.0,0.1846386437140709,0.0,0,-0.0071927793,0,3.58368597728428,0,-9.108588428511544,0,-0.002559628695666,0,1,0
85,32.55,0,0,0,0,0,0.0,0,0.94475,0,7.559915,0,0.41686898,0.9828263909183546,0.0,0.1845326131457574,0.0,0,-0.007276413,0,3.5825010106381225,0,-9.109007255810996,0,-0.0025280466031376,0,1,0
86,32.58,0,0,0,0,0,0.0,0,0.9441,0,7.5609736,0,0.41752675,0.9828465269839638,0.0,0.1844253355576736,0.0,0,-0.0073591014,0,3.5812980586647574,0,-9.109443066993231,0,-0.0024959742970314,0,1,0
87,32.61,0,0,0,0,0,0.0,0,0.94345,0,7.562058,0,0.4181854,0.9828668793031488,0.0,0.1843168401663006,0.0,0,-0.0074408296,0,3.580076214673043,0,-9.1098946547598,0,-0.0024634627756382,0,1,0
88,32.64,0,0,0,0,0,0.0,0,0.9428,0,7.563168,0,0.4188447,0.982887444728201,0.0,0.1842071415436098,0.0,0,-0.0075215846,0,3.578836258844907,0,-9.110363214168988,0,-0.0024305342800954,0,1,0
89,32.67,0,0,0,0,0,0.0,0,0.94215,0,7.564304,0,0.41950434,0.982908220113496,0.0,0.1840962542620556,0.0,0,-0.007601354,0,3.5775775380084176,0,-9.110847579134065,0,-0.0023971846898177,0,1,0
90,32.7,0,0,0,0,0,0.0,0,0.9415,0,7.565466,0,0.42016414,0.982929205057248,0.0,0.1839841782478222,0.0,0,-0.0076801246,0,3.5762999899308068,0,-9.111348313014302,0,-0.0023634109565552,0,1,0
91,32.73,0,0,0,0,0,0.0,0,0.94085,0,7.5666537,0,0.4208238,0.9829503936735786,0.0,0.1838709427205855,0.0,0,-0.007757884,0,3.5750035476546804,0,-9.11186416868468,0,-0.0023292850777657,0,1,0
92,32.76,0,0,0,0,0,0.0,0,0.9402,0,7.5678673,0,0.42148313,0.9829717828241206,0.0,0.1837565622544403,0.0,0,-0.007834622,0,3.573688143833384,0,-9.112396402947596,0,-0.0022947732032133,0,1,0
93,32.79,0,0,0,0,0,0.0,0,0.93955,0,7.5691066,0,0.42214188,0.9829933721097542,0.0,0.1836410367763543,0.0,0,-0.007910327,0,3.5723536678601238,0,-9.112943757561512,0,-0.0022599443652543,0,1,0
94,32.82,0,0,0,0,0,0.0,0,0.9389,0,7.5703716,0,0.42279986,0.983015155657906,0.0,0.1835243955087791,0.0,0,-0.007984989,0,3.5709997237104885,0,-9.113506309564604,0,-0.0022247654128597,0,1,0
