idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1
66,31.98,0,0,0,0,0,0.0,0,0.9571,0,7.5445833,0,0.4049079,0.9824887755387669,0.0,0.18632178063858892,0.0,0,-0.0055449125,0,3.602075512461636,0,-9.10398104258022,0,-0.003027142414173587,0,1
67,32.01,0,0,0,0,0,0.0,0,0.95645,0,7.5451717,0,0.4054949,0.982504270065585,0.0,0.18624005826591633,0.0,0,-0.005642545,0,3.601188782216125,0,-9.104087413282627,0,-0.0030071365101449346,0,1
68,32.04,0,0,0,0,0,0.0,0,0.9558,0,7.545783,0,0.4060884,0.9825200296433598,0.0,0.18615689981736167,0.0,0,-0.005739578,0,3.6002874434082552,0,-9.104212246903991,0,-0.0029863371734132464,0,1
69,32.07,0,0,0,0,0,0.0,0,0.9551499999999999,0,7.546418,0,0.40668815,0.9825360539076662,0.0,0.18607230522447918,0.0,0,-0.0058359886,0,3.5993707902419936,0,-9.10435325676116,0,-0.0029647618919334848,0,1
70,32.1,0,0,0,0,0,0.0,0,0.9545,0,7.5470767,0,0.40729374,0.9825523397163696,0.0,0.1859862890588657,0.0,0,-0.0059317527,0,3.5984399029461014,0,-9.104513887698896,0,-0.002942400509078876,0,1
71,32.129999999999995,0,0,0,0,0,0.0,0,0.95385,0,7.547759,0,0.40790486,0.9825688839262497,0.0,0.1858988658919789,0.0,0,-0.0060268478,0,3.597492815671573,0,-9.104690724212597,0,-0.002919319396378799,0,1
72,32.16,0,0,0,0,0,0.0,0,0.9532,0,7.5484657,0,0.40852123,0.9825856861619963,0.0,0.1858100356535111,0.0,0,-0.0061212513,0,3.5965307727869917,0,-9.104885551388952,0,-0.00289548252625309,0,1
73,32.19,0,0,0,0,0,0.0,0,0.95255,0,7.5491967,0,0.4091425,0.9826027432748128,0.0,0.1857198129140031,0.0,0,-0.006214941,0,3.595552608688505,0,-9.105098316148242,0,-0.002870954375814555,0,1
74,32.22,0,0,0,0,0,0.0,0,0.9519,0,7.549952,0,0.40976834,0.9826200521153191,0.0,0.18562821224395704,0.0,0,-0.006307896,0,3.5945584926520837,0,-9.105328554192898,0,-0.0028457453543745373,0,1
75,32.25,0,0,0,0,0,0.0,0,0.95125,0,7.550732,0,0.41039845,0.9826376122984469,0.0,0.18553523357143517,0.0,0,-0.0064000967,0,3.5935482997649064,0,-9.105576821504265,0,-0.002819866862621675,0,1
76,32.28,0,0,0,0,0,0.0,0,0.9506,0,7.551537,0,0.4110325,0.9826554206700464,0.0,0.18544089146618703,0.0,0,-0.0064915223,0,3.592521480233579,0,-9.105843130247356,0,-0.0027933029744743663,0,1
77,32.31,0,0,0,0,0,0.0,0,0.94995,0,7.5523667,0,0.4116702,0.9826734740758745,0.0,0.1853452004980214,0.0,0,-0.0065821526,0,3.591477501581953,0,-9.106126334917713,0,-0.002766114777988243,0,1
78,32.339999999999996,0,0,0,0,0,0.0,0,0.9493,0,7.5532217,0,0.41231132,0.9826917693617968,0.0,0.18524817523684578,0.0,0,-0.006671969,0,3.590416563682226,0,-9.106425899094868,0,-0.0027383103160400395,0,1
79,32.37,0,0,0,0,0,0.0,0,0.94865,0,7.5541015,0,0.4129555,0.9827103033739873,0.0,0.18514983025270546,0.0,0,-0.0067609525,0,3.5893389236324036,0,-9.106744125970227,0,-0.002709920864193093,0,1
80,32.4,0,0,0,0,0,0.0,0,0.948,0,7.5550065,0,0.41360244,0.9827290757165877,0.0,0.1850501654720175,0.0,0,-0.0068490864,0,3.5882434482129364,0,-9.107078726443357,0,-0.0026809264904717875,0,1
81,32.43,0,0,0,0,0,0.0,0,0.94735,0,7.5559373,0,0.4142519,0.9827480832324645,0.0,0.18494919546436786,0.0,0,-0.006936352,0,3.587130237278547,0,-9.107429665179216,0,-0.0026513859853669226,0,1
82,32.46,0,0,0,0,0,0.0,0,0.9467,0,7.5568933,0,0.41490355,0.9827673200108287,0.0,0.1848469494439478,0.0,0,-0.007022733,0,3.5860002345348327,0,-9.10779929304519,0,-0.00262132563319127,0,1
